,CAR,cond,cidade,Área_Total,Área CAR sob TIs,PC CAR sob TIs
41414,PA-1506807-A5F4BEA3F5B2408EAF7F26EA8A5E9F43,Cancelado por duplicidade,Santarem,2822.300774468575,81.06975032953147,2.872470257703008
19207,PA-1500404-8AF77E7F49B74FEAA4D069646DCA1FA4,Cancelado por duplicidade,Alenquer,0.260381794324401,0.0,0.0
134564,PA-1505502-8F23D8824D98443D975A626B4B474FF6,Cancelado por duplicidade,Paragominas,1.1691691619439315,0.0,0.0
288475,PA-1501451-E8782E6D95084B0CB8102AD6F9E0594B,Cancelado por duplicidade,Belterra,1.0080606421971745,0.0,0.0
216921,PA-1505064-1F8D0136F5E248DBA825F324A29BBD11,Cancelado por duplicidade,Novo Repartimento,94.8154671570788,0.0,0.0
210377,PA-1500859-0F6236AA97404519AD7CA25DDC559E5B,Cancelado por duplicidade,Anapu,758.1764702799246,0.0,0.0
160695,PA-1503093-04BA7607F0074220AC4FC0D651CC7B03,Cancelado por duplicidade,Goianesia do Para,10.467255344009311,0.0,0.0
157610,PA-1504455-DE0517251CDA44B3B374162DE1C42307,Cancelado por duplicidade,Medicilandia,0.9706963929414684,0.0,0.0
156439,PA-1506807-54F6938AB35D411BA206EFEBD574F903,Cancelado por duplicidade,Santarem,50.64795502433965,0.0,0.0
134587,PA-1504208-530E5AE4F71A47B8A63D7A6C9A4C16A2,Cancelado por duplicidade,Maraba,1.0030412105262747,0.0,0.0
